COD_CURSO;COD_DISCIPLINA;COD_TURMA;PERIODO_IDEAL;NOME_DISCIPLINA;VAGAS_OFERECIDAS;DIA_SEMANA;HR_INICIO;HR_FIM;NUM_SALA;NOME_DOCENTE
GPROD;GEXT7502;410038;2;ÁLGEBRA LINEAR II;55;SEG;07:00:00;09:45:00;E-303;ANDRE LUIZ CORDEIRO DOS SANTOS
GTEL;GEXT7502;510122;2;ÁLGEBRA LINEAR II;25;QUI;12:50:00;15:25:00;E-301;MARCOS OLIVEIRA DE PINHO
BCC;GCC1627;901627;6;ALGORITMOS EM GRAFOS;40;QUA;18:10:00;21:30:00;P1-203;DIEGO NUNES BRANDAO
GLEA;GLEA1855;011855;5;ANÁLISE DA POLÍTICA EXTERNA BRASILEIRA;40;TER;08:55:00;12:20:00;CAMPIII201;FELIPE VIDAL BENVENUTO ALBERTO
GADM;GADM1725;821725;2;ANÁLISE DE DEMONSTRATIVOS;55;QUA;08:55:00;12:20:00;E-209;ANDREA ALVES SILVEIRA MONTEIRO
GMEC;GMEC7604;195000;0;ANÁLISE DE FONTES ALTERNATIVAS DE ENERGIA;30;QUA;18:10:00;21:30:00;E-303;THIAGO DE OLIVEIRA MACEDO
GPROD;GPRO7842;417842;0;ANÁLISE DE REDES SOCIAIS;15;TER;09:45:00;12:20:00;E-512;RAFAEL GARCIA BARBASTEFANO
GEL;GELE7081;272550;8;ANÁLISE DE SISTEMAS DE POTENCIA I;30;QUA;18:10:00;19:50:00;LAB-2;JULIO CESAR DE CARVALHO FERREIRA
GEL;GELE7095;292568;9;ANÁLISE DE SISTEMAS DE POTÊNCIA II;30;TER;18:10:00;20:40:00;D-314;THIAGO AMERICANO DO BRASIL
BCC;GCC1416;940004;4;ANÁLISE E PROJETO DE SISTEMAS;40;QUA;18:10:00;21:30:00;P1-104;CARMEN LUCIA ASP DE QUEIROZ
GPROD;GPRO7827;407827;10;ANÁLISE ORGANIZACIONAL;40;QUA;17:20:00;19:50:00;E-301;ANA LUIZA LIMA DE SOUZA
GAMB;GEAMB1625;161625;6;ANALISES FÍSICO-QUÍMICAS 1;30;TER;18:10:00;21:30:00;CAMPIII201;HELENA RODRIGUES OLIVEIRA
GAMB;GEAMB1732;171732;7;ANÁLISES FÍSICO-QUÍMICAS 2;30;SEG;19:00:00;22:20:00;B-211;RODRIGO DA SILVA MACHADO
GAMB;GEAMB1727;171727;7;ANÁLISES MICROBIOLÓGICAS;30;TER;18:10:00;21:30:00;D-320;MARCELO BORGES ROCHA
GTEL;GELE7291;580531;9;ANTENAS;50;QUI;14:35:00;18:10:00;E-204;GILSON ALVES DE ALENCAR
BCC;GCC1932;910006;0;APRENDIZADO DE MÁQUINA;20;QUI;07:50:00;11:30:00;E-512;EDUARDO BEZERRA DA SILVA
BCC;GCC1102;910004;1;ARQUITETURA DE COMPUTADORES;10;TER;14:35:00;18:10:00;P1-203;GLAUCO FIOROTT AMORIM
BCC;GCC1519;951519;5;ARQUITETURA DE LINGUAGENS DE PROGRAMAÇÃO;40;QUI;18:10:00;21:30:00;P1-204;RENATHA OLIVA CAPUA
BCC;GCC1520;951520;5;ARQUITETURA E PADRÕES DE SOFTWARE;40;QUI;14:35:00;18:10:00;P1-205;MARCELO AREAS RODRIGUES DA SILVA
GCIV;GCIV8402;730023;4;ARQUITETURA E URBANISMO I;45;SEG;18:10:00;20:40:00;D-214;ROSANA DISCHINGER MIRANDA
GCIV;GCIV8504;740032;5;ARQUITETURA E URBANISMO II;45;TER;18:10:00;20:40:00;D-200;ROSANA DISCHINGER MIRANDA
GCIV;GCIV8504;Esp Arq Ur;5;ARQUITETURA E URBANISMO II;15;SEG;15:35:00;18:10:00;D.LABCIVIL;ROSANA DISCHINGER MIRANDA
BCC;GCC1206;920004;2;ARQUITETURAS AVANÇADAS DE COMPUTADORES;40;SEX;16:30:00;18:10:00;P1-205;RONILSON WILLIAME DA SILVA PEREIRA
GLEA;GLEA2006MA;011058;0;ARTE E TURISMO EM ESPAÇÕES CULTURAIS;15;SEX;12:50:00;14:30:00;E-401;MARCELE LINHARES VIANA
GMEC;AEEGRAD;AEEGRAD-MC;0;ATENDIMENTO EDUCACIONAL ESPECIALIZADO;1;SEG;07:50:00;08:40:00;;LIVIA DE LAURO ANTUNES
GLEA;GLEA1883;111883;8;ATIVIDADES ACADÊMICAS CIENTÍFICO-CULTURAIS;40;SEG;16:30:00;19:50:00;;ADRIANA ORTEGA CLIMACO
BCC;GCC1842;940007;8;ATIVIDADES COMPLEMENTARES;50;;;;;CAROLINA DE LIMA AGUILAR
GADM;GADM1784;871784;8;ATIVIDADES COMPLEMENTARES;100;;;;;CARMELITA SENO CARDEIRA ALVES
GAMB;GEAMB1045;190007;10;ATIVIDADES COMPLEMENTARES;40;;;;;JAQUELINE MARIA RIBEIRO VIEIRA
GPROD;GPRO7861;490019;10;ATIVIDADES COMPLEMENTARES;30;;;;;PAULA MICHELLE PURCIDONIO
GAUT;GELE7105;658003;9;AUTOMAÇÃO DE SISTEMAS;30;TER;18:10:00;19:00:00;E-201;THIAGO MONTEIRO TUXI
GAUT;GELE7105;658003;9;AUTOMAÇÃO DE SISTEMAS;30;TER;19:00:00;20:40:00;E-201;THIAGO MONTEIRO TUXI
GAMB;GPRO7836;190008;0;AVALIAÇÃO DE CICLO DE VIDA DE PRODUTOS;5;QUA;13:40:00;16:15:00;E-514;LEYDERVAN DE SOUZA XAVIER
GPROD;GPRO7836;407836;0;AVALIAÇÃO DE CICLO DE VIDA DE PRODUTOS;10;QUA;13:40:00;16:15:00;E-514;LEYDERVAN DE SOUZA XAVIER
GAMB;GEAMB1103;152005;1;BIOLOGIA AMBIENTAL;11;QUA;14:35:00;18:10:00;E-305;MARIA JOSE PAES SANTOS
GFIS;GEAMB1103;239000;0;BIOLOGIA AMBIENTAL;5;QUA;14:35:00;18:10:00;E-305;MARIA JOSE PAES SANTOS
GAMB;GEAMB1514;151514;5;BIOQUÍMICA AMBIENTAL;30;SEG;18:10:00;21:30:00;E-415;MARCELO BORGES ROCHA
BCC;GEXT7301;910001;1;CÁLCULO A UMA VARIÁVEL;15;QUI;12:50:00;14:30:00;H-103;PEDRO FERRAZ VILLELA
BCC;GEXT7301;910001;1;CÁLCULO A UMA VARIÁVEL;15;SEX;14:35:00;17:20:00;H-101;PEDRO FERRAZ VILLELA
GAMB;GEXT7301;162001;1;CÁLCULO A UMA VARIÁVEL;15;QUI;14:35:00;17:20:00;H-103;PEDRO FERRAZ VILLELA
GAMB;GEXT7301;162001;1;CÁLCULO A UMA VARIÁVEL;15;SEX;12:50:00;14:30:00;H-101;PEDRO FERRAZ VILLELA
GAUT;GEXT7301;650002;1;CÁLCULO A UMA VARIÁVEL;5;SEG;13:40:00;16:15:00;H-102;ROBERTO SOUZA SA BARRETO
GAUT;GEXT7301;650002;1;CÁLCULO A UMA VARIÁVEL;5;QUA;12:50:00;14:30:00;H-102;ROBERTO SOUZA SA BARRETO
GCIV;GEXT7301;700002;1;CÁLCULO A UMA VARIÁVEL;16;SEG;14:35:00;16:15:00;H-104;CRISTIANE PINHO GUEDES
GCIV;GEXT7301;700002;1;CÁLCULO A UMA VARIÁVEL;16;QUI;15:25:00;18:10:00;H-104;CRISTIANE PINHO GUEDES
GEL;GMAT1001MA;201020;1;CÁLCULO A UMA VARIÁVEL;5;QUI;14:35:00;16:15:00;H-105;ALEXANDRE DE SOUZA SOARES
GEL;GMAT1001MA;201020;1;CÁLCULO A UMA VARIÁVEL;5;SEG;13:40:00;16:15:00;H-101;ALEXANDRE DE SOUZA SOARES
GELT;GEXT7301;301020;1;CÁLCULO A UMA VARIÁVEL;5;SEG;13:40:00;16:25:00;H-101;ALEXANDRE DE SOUZA SOARES
GELT;GEXT7301;301020;1;CÁLCULO A UMA VARIÁVEL;5;QUI;14:35:00;16:15:00;H-105;ALEXANDRE DE SOUZA SOARES
GFIS;GMAT1001MA;217301;1;CÁLCULO A UMA VARIÁVEL;5;TER;09:45:00;12:20:00;H-103;ELIZABETH MENDES DE OLIVEIRA
GFIS;GMAT1001MA;217301;1;CÁLCULO A UMA VARIÁVEL;5;QUA;10:40:00;12:20:00;H-105;ELIZABETH MENDES DE OLIVEIRA
GMEC;GMAT1001MA;101027-A;1;CÁLCULO A UMA VARIÁVEL;20;QUA;07:00:00;09:45:00;H-103;JOSE CARLOS RUBIANES SILVA
GMEC;GMAT1001MA;101027-A;1;CÁLCULO A UMA VARIÁVEL;20;SEX;08:55:00;10:35:00;H-101;JOSE CARLOS RUBIANES SILVA
GPROD;GMAT1001MA;417301;1;CÁLCULO A UMA VARIÁVEL;20;TER;07:00:00;09:45:00;H-101;ELIZABETH MENDES DE OLIVEIRA
GPROD;GMAT1001MA;417301;1;CÁLCULO A UMA VARIÁVEL;20;QUA;08:55:00;10:35:00;H-105;ELIZABETH MENDES DE OLIVEIRA
GPROD;GEXT7301;Esp2 Cal1;1;CÁLCULO A UMA VARIÁVEL;50;TER;12:50:00;14:30:00;A-301;ALCINDO MARCIO SANTOS DE MIRANDA
GPROD;GEXT7301;Esp2 Cal1;1;CÁLCULO A UMA VARIÁVEL;50;QUI;14:35:00;17:20:00;A-301;ALCINDO MARCIO SANTOS DE MIRANDA
GPROD;GEXT7301;Esp Calc 1;1;CÁLCULO A UMA VARIÁVEL;25;SEG;18:10:00;19:50:00;CAMPIII204;GUSTAVO ADOLFO MARTINS JOTTA SOARES
GPROD;GEXT7301;Esp Calc 1;1;CÁLCULO A UMA VARIÁVEL;25;QUI;18:10:00;20:40:00;CAMPIII204;GUSTAVO ADOLFO MARTINS JOTTA SOARES
GTEL;GMAT1001MA;501020;1;CÁLCULO A UMA VARIÁVEL;5;SEG;13:40:00;16:15:00;H-102;ROBERTO SOUZA SA BARRETO
GTEL;GMAT1001MA;501020;1;CÁLCULO A UMA VARIÁVEL;5;QUA;12:50:00;14:30:00;H-102;ROBERTO SOUZA SA BARRETO
GTEL;GEXT7301;Esp Calc 1;1;CÁLCULO A UMA VARIÁVEL;50;TER;09:45:00;12:20:00;H-105;ELIZABETH MENDES DE OLIVEIRA
GTEL;GEXT7301;Esp Calc 1;1;CÁLCULO A UMA VARIÁVEL;50;QUA;10:40:00;12:20:00;H-103;ELIZABETH MENDES DE OLIVEIRA
BCC;GEXT7302;920001;2;CÁLCULO A VÁRIAS VARIÁVEIS;50;TER;14:35:00;16:15:00;H-104;OLIVIA TERRA COUTO
BCC;GEXT7302;920001;2;CÁLCULO A VÁRIAS VARIÁVEIS;50;QUA;14:35:00;16:15:00;D-222;OLIVIA TERRA COUTO
GAMB;GEXT7302;127302-A;2;CÁLCULO A VÁRIAS VARIÁVEIS;50;QUI;15:25:00;17:20:00;D-224;GUILHERME BRAGA DE JESUS
GAMB;GEXT7302;127302-A;2;CÁLCULO A VÁRIAS VARIÁVEIS;50;SEX;14:35:00;16:15:00;H-103;GUILHERME BRAGA DE JESUS
